Project_name,File,github_path,label,api_prediction,api_error_message
Bazel,/home/gzhao/performance_bug_prediction/github_data_collection/projects/bazel/third_party/jformatstring/java/edu/umd/cs/findbugs/formatStringChecker/FormatterNumberFormatException.java,third_party/jformatstring/java/edu/umd/cs/findbugs/formatStringChecker/FormatterNumberFormatException.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Hazelcast,/home/gzhao/performance_bug_prediction/github_data_collection/projects/hazelcast/hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/replicatedmap/ReplicatedMapClearMessageTask.java,hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/replicatedmap/ReplicatedMapClearMessageTask.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Openolat,/home/gzhao/performance_bug_prediction/github_data_collection/projects/openolat/src/main/java/org/olat/course/certificate/ui/CertificateAndEfficiencyStatementListController.java,/src/main/java/org/olat/course/certificate/ui/CertificateAndEfficiencyStatementListController.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Fastjson,/home/gzhao/performance_bug_prediction/github_data_collection/projects/fastjson/src/main/java/com/alibaba/fastjson/support/springfox/SwaggerJsonSerializer.java,src/main/java/com/alibaba/fastjson/support/springfox/SwaggerJsonSerializer.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Crate,/home/gzhao/performance_bug_prediction/github_data_collection/projects/crate/server/src/main/java/org/elasticsearch/cluster/coordination/Reconfigurator.java,server/src/main/java/org/elasticsearch/cluster/coordination/Reconfigurator.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Ihmc-open-robotics-software,/home/gzhao/performance_bug_prediction/github_data_collection/projects/ihmc-open-robotics-software/ihmc-interfaces/src/main/generated-java/controller_msgs/msg/dds/MomentumTrajectoryMessage.java,ihmc-interfaces/src/main/generated-java/controller_msgs/msg/dds/MomentumTrajectoryMessage.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Ballerina-lang,/home/gzhao/performance_bug_prediction/github_data_collection/projects/ballerina-lang/langlib/lang.string/src/main/java/org/ballerinalang/langlib/string/ToCodePointInt.java,langlib/lang.string/src/main/java/org/ballerinalang/langlib/string/ToCodePointInt.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Vespa,/home/gzhao/performance_bug_prediction/github_data_collection/projects/vespa/clustercontroller-core/src/main/java/com/yahoo/vespa/clustercontroller/core/status/statuspage/StatusPageServer.java,clustercontroller-core/src/main/java/com/yahoo/vespa/clustercontroller/core/status/statuspage/StatusPageServer.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Presto,/home/gzhao/performance_bug_prediction/github_data_collection/projects/presto/presto-main/src/main/java/com/facebook/presto/operator/aggregation/BooleanAndAggregation.java,presto-main/src/main/java/com/facebook/presto/operator/aggregation/BooleanAndAggregation.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Openl-tablets,/home/gzhao/performance_bug_prediction/github_data_collection/projects/openl-tablets/Util/openl-openapi-model-scaffolding/src/org/openl/rules/model/scaffolding/environment/EnvironmentModel.java,Util/openl-openapi-model-scaffolding/src/org/openl/rules/model/scaffolding/environment/EnvironmentModel.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Bazel,/home/gzhao/performance_bug_prediction/github_data_collection/projects/bazel/src/tools/android/java/com/google/devtools/build/android/desugar/LambdaDesugaring.java,src/tools/android/java/com/google/devtools/build/android/desugar/LambdaDesugaring.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Spring-framework,/home/gzhao/performance_bug_prediction/github_data_collection/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/target/HotSwappableTargetSource.java,spring-aop/src/main/java/org/springframework/aop/target/HotSwappableTargetSource.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Atlasdb,/home/gzhao/performance_bug_prediction/github_data_collection/projects/atlasdb/commons-executors/src/main/java/com/palantir/common/concurrent/AbstractForwardingScheduledExecutorService.java,commons-executors/src/main/java/com/palantir/common/concurrent/AbstractForwardingScheduledExecutorService.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Structr,/home/gzhao/performance_bug_prediction/github_data_collection/projects/structr/structr-modules/structr-payment-module/src/main/java/org/structr/payment/api/PaymentItem.java,structr-modules/structr-payment-module/src/main/java/org/structr/payment/api/PaymentItem.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
Openolat,/home/gzhao/performance_bug_prediction/github_data_collection/projects/openolat/src/main/java/org/olat/course/nodes/gta/model/TaskLightImpl.java,/src/main/java/org/olat/course/nodes/gta/model/TaskLightImpl.java,0,,"Error: 429, {""error"":""Rate limit reached. You reached free usage limit (reset daily). Please subscribe to PRO or Enterprise Hub to get a higher limit: https://hf.co/pricing""}"
